fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2023-12-31,USD,13256000000,2376000000,None,4137000000,4433000000,3836000000,8898000000,586000000,1195000000,14974000000,-15584000000,2589000000,None,None,None,None,None,None,None,None,None,None,700000000,None,None,None,14997000000
2022-12-31,USD,14724000000,2184000000,None,9064000000,11557000000,2913000000,7158000000,1124000000,6465000000,12587000000,-11973000000,-3527000000,None,None,None,None,None,None,None,0,None,None,541000000,None,None,None,12556000000
2021-12-31,USD,11497000000,1532000000,None,5847000000,-3401000000,2381000000,7982000000,-130000000,1709000000,5644000000,-7868000000,-5203000000,None,None,None,None,None,None,None,0,None,None,707000000,None,-1574000000,None,5519000000
2020-12-31,USD,5943000000,1115000000,None,2918000000,1669000000,2149000000,3167000000,652000000,422000000,862000000,-3132000000,9973000000,None,None,None,None,None,None,None,12269000000,None,None,12686000000,None,12784000000,None,721000000
2019-12-31,USD,2405000000,1009000000,None,1592000000,969000000,1901000000,1332000000,367000000,429000000,-775000000,-1436000000,1529000000,None,None,None,None,None,None,None,848000000,None,174000000,1285000000,None,2498000000,None,-862000000
2018-12-31,USD,2098000000,443545000,None,2289477000,1602121000,1268730000,2100724000,496732000,1023000000,-1063000000,-2337000000,574000000,None,None,11000,None,None,None,None,None,None,None,295711000,None,334129000,None,-976000000
2017-12-31,USD,-61000000,248266000,None,639372000,275569000,769300000,3414814000,24635000,179000000,-2241000000,-4196000000,4415000000,511321000,None,230385000,None,None,None,None,400000000,None,52883000,481789000,None,-25302000,39455000,-1962000000
2016-12-31,USD,-123829000,55078000,None,1271058000,209112000,477300000,1280802000,213097000,632867000,-773046000,-1081085000,3743976000,769709000,None,None,None,None,None,None,1701734000,None,None,1865551000,None,2196308000,-7409000,-674914000
2015-12-31,USD,-574117000,41521000,None,323763000,7690000,278700000,1634850000,-46267000,369364000,-888663000,-1673551000,1523523000,703745000,None,None,None,None,None,None,730000000,None,120300000,976911000,None,-708805000,-34278000,-888663000
2014-12-31,USD,156960000,23659000,None,583054000,248788000,155900000,969885000,183658000,-1050264000,-294040000,-990444000,2143130000,3271000,None,None,None,None,None,None,None,2300000000,389160000,489615000,None,1059824000,-35525000,-294040000
2013-12-31,USD,257994000,9298000,None,123808000,39725000,83900000,264224000,21917000,-463270000,-74014000,-249417000,635422000,None,None,None,None,None,None,None,360000000,660000000,120318000,270625000,None,643999000,-6810000,-74014000
2012-12-31,USD,-266081000,7055000,None,254735000,16664000,25300000,239228000,17303000,-194726000,-396213000,-206930000,419635000,None,None,None,None,None,None,None,None,188796000,None,24885000,None,-53376000,-2266000,-396213000
2011-12-31,USD,-128034000,3754000,None,107827000,3365000,14600000,197896000,2829000,-13638000,-254411000,-162258000,446000000,None,None,None,None,None,None,None,None,204423000,None,69583000,None,155708000,None,-254411000
